sinco,isco,match
3113,4132,100.0
3114,4131,100.0
3131,4415,100.0
3141,4323,100.0
3142,5112,100.0
3201,3341,100.0
3212,4222,100.0
3221,4221,100.0
3222,5113,100.0
3231,4227,100.0
4201,5222,100.0
4213,5244,100.0
4214,3322,100.0
4223,3334,100.0
4224,3322,100.0
4231,5242,100.0
4232,9629,100.0
4233,5241,100.0
4301,3334,100.0
4311,3334,100.0
4312,5249,100.0
5101,3434,100.0
5111,5120,100.0
5113,5120,100.0
5114,9411,100.0
5115,5132,100.0
5116,5131,100.0
5119,5120,100.0
5212,5142,100.0
5213,5142,100.0
5231,5111,100.0
5241,6113,100.0
5242,6113,100.0
5251,5161,100.0
5252,5169,100.0
5253,5163,100.0
5254,5164,100.0
5311,5411,100.0
5314,5414,100.0
5319,5419,100.0
5401,0210,100.0
5412,0310,100.0
5419,0310,100.0
6126,6123,100.0
6127,6129,100.0
6212,6221,100.0
6221,6210,100.0
6222,6112,100.0
6223,6113,100.0
6224,6210,100.0
6225,6340,100.0
6226,6340,100.0
6227,6210,100.0
6311,8341,100.0
7111,8111,100.0
7112,8111,100.0
7122,7121,100.0
7123,7115,100.0
7131,7123,100.0
7132,7122,100.0
7134,7126,100.0
7135,7131,100.0
7199,7119,100.0
7201,7543,100.0
7212,7212,100.0
7221,7221,100.0
7223,7313,100.0
7301,7543,100.0
7312,7132,100.0
7313,7317,100.0
7321,7319,100.0
7323,8132,100.0
7331,7318,100.0
7332,7318,100.0
7343,7533,100.0
7344,7532,100.0
7351,7534,100.0
7353,7536,100.0
7401,7543,100.0
7412,7319,100.0
7501,7515,100.0
7511,7511,100.0
7512,7513,100.0
7513,7512,100.0
7514,7514,100.0
7515,7512,100.0
7516,7514,100.0
7517,7514,100.0
7518,7516,100.0
7601,7543,100.0
7611,7314,100.0
7612,7319,100.0
7614,7319,100.0
8111,8112,100.0
8112,8113,100.0
8113,8113,100.0
8114,8342,100.0
8122,8122,100.0
8123,8121,100.0
8134,3132,100.0
8135,3134,100.0
8141,8172,100.0
8145,8143,100.0
8211,8211,100.0
8212,8212,100.0
8311,3153,100.0
8321,3152,100.0
8323,3151,100.0
8324,8350,100.0
8331,8311,100.0
8343,8322,100.0
8344,8321,100.0
8351,8342,100.0
9111,9211,100.0
9112,9212,100.0
9113,9213,100.0
9122,9216,100.0
9123,9216,100.0
9124,9624,100.0
9211,9311,100.0
9212,9311,100.0
9222,9313,100.0
9312,8312,100.0
9321,9331,100.0
9322,9332,100.0
9331,9333,100.0
9332,9333,100.0
9411,9412,100.0
9511,9520,100.0
9512,9520,100.0
9521,5212,100.0
9611,9111,100.0
9622,9112,100.0
9623,9112,100.0
9624,9510,100.0
9631,9122,100.0
9632,9510,100.0
9634,9510,100.0
9643,9121,100.0
9651,9214,100.0
9661,9611,100.0
9662,9612,100.0
9663,9611,100.0
9664,9611,100.0
9711,9621,100.0
9712,9321,100.0
9713,3435,100.0
9721,4412,100.0
9722,9621,100.0
9723,9621,100.0
9731,9623,100.0
9732,9623,100.0
9899,9629,100.0
1111,1110,100.0
1113,1110,100.0
1211,1210,100.0
1221,1340,100.0
1222,1340,100.0
1311,1310,100.0
1412,1410,100.0
1511,1210,100.0
1522,1340,100.0
1712,1410,100.0
2111,2420,100.0
2112,2430,100.0
2122,2410,100.0
2131,2630,100.0
2135,2610,100.0
2144,2620,100.0
2234,2130,100.0
2263,2160,100.0
2271,2510,100.0
2272,2520,100.0
2312,2350,100.0
2437,2260,100.0
2523,3350,100.0
2524,3350,100.0
2621,3110,100.0
2634,7230,100.0
2635,7310,100.0
2642,7410,100.0
2644,7420,100.0
2651,3510,100.0
2652,3520,100.0
2712,2350,100.0
2713,2350,100.0
3132,4320,100.0
3211,4220,100.0
5312,5410,100.0
6114,6110,100.0
6116,6110,100.0
6213,6220,100.0
7101,3120,100.0
7113,7540,100.0
7121,7110,100.0
7214,7210,100.0
7222,7220,100.0
7322,7320,100.0
7341,7530,100.0
7352,7530,100.0
7411,8140,100.0
8144,7320,100.0
8155,8150,100.0
8172,8180,100.0
8173,8180,100.0
8341,8330,100.0
8352,8340,100.0
9121,9210,100.0
9221,9310,100.0
9231,9320,100.0
9232,9320,100.0
9233,9320,100.0
9234,9320,100.0
9235,9320,100.0
9236,9320,100.0
9237,9320,100.0
9239,9320,100.0
9601,5150,100.0
1121,1100,100.0
1224,2600,66.7
1411,1200,66.7
1422,1400,66.7
1611,1300,66.7
1711,1200,66.7
1722,1400,66.7
2211,2100,100.0
