code,level,code_orig,title
4223,4,4223,Telephone Switchboard Operators
4224,4,4224,Hotel Receptionists
4225,4,4225,Inquiry Clerks
4226,4,4226,Receptionists (general)
4227,4,4227,Survey and Market Research Interviewers
4229,4,4229,Client Information Workers Not Elsewhere Classified
4300,2,43,Numerical and Material Recording Clerks
4310,3,431,Numerical Clerks
4311,4,4311,Accounting and Bookkeeping Clerks
4312,4,4312,"Statistical, Finance and Insurance Clerks"
4313,4,4313,Payroll Clerks
4320,3,432,Material Recording and Transport Clerks
4321,4,4321,Stock Clerks
4322,4,4322,Production Clerks
4323,4,4323,Transport Clerks
4400,2,44,Other Clerical Support Workers
4410,3,441,Other Clerical Support Workers
4411,4,4411,Library Clerks
4412,4,4412,Mail Carriers and Sorting Clerks
4413,4,4413,"Coding, Proofreading and Related Clerks"
4414,4,4414,Scribes and Related Workers
4415,4,4415,Filing and Copying Clerks
4416,4,4416,Personnel Clerks
4419,4,4419,Clerical Support Workers Not Elsewhere Classified
5000,1,5,Service and Sales Workers
5100,2,51,Personal Service Workers
5110,3,511,"Travel Attendants, Conductors and Guides"
5111,4,5111,Travel Attendants and Travel Stewards
5112,4,5112,Transport Conductors
5113,4,5113,Travel Guides
5120,3,512,Cooks
5120,4,5120,Cooks
5130,3,513,Waiters and Bartenders
5131,4,5131,Waiters
5132,4,5132,Bartenders
5140,3,514,"Hairdressers, Beauticians and Related Workers"
5141,4,5141,Hairdressers
5142,4,5142,Beauticians and Related Workers
5150,3,515,Building and Housekeeping Supervisors
5151,4,5151,"Cleaning and Housekeeping Supervisors in Offices, Hotels and Other Establishments"
5152,4,5152,Domestic Housekeepers
5153,4,5153,Building Caretakers
5160,3,516,Other Personal Services Workers
5161,4,5161,"Astrologers, Fortune-tellers and Related Workers"
5162,4,5162,Companions and Valets
5163,4,5163,Undertakers and Embalmers
5164,4,5164,Pet Groomers and Animal Care Workers
5165,4,5165,Driving Instructors
5169,4,5169,Personal Services Workers Not Elsewhere Classified
5200,2,52,Sales Workers
5210,3,521,Street and Market Salespersons
5211,4,5211,Stall and Market Salespersons
5212,4,5212,Street Food Salespersons
5220,3,522,Shop Aalespersons
5221,4,5221,Shopkeepers
5222,4,5222,Shop Supervisors
5223,4,5223,Shop Sales Assistants
5230,3,523,Cashiers and Ticket Clerks
5230,4,5230,Cashiers and Ticket Clerks
5240,3,524,Other Sales Workers
5241,4,5241,Fashion and Other Models
5242,4,5242,Sales Demonstrators
5243,4,5243,Door-to-door Salespersons
5244,4,5244,Contact Centre Salespersons
5245,4,5245,Service Station Attendants
5246,4,5246,Food Service Counter Attendants
5249,4,5249,Sales Workers Not Elsewhere Classified
5300,2,53,Personal Care Workers
5310,3,531,Child Care Workers and Teachers' Aides
5311,4,5311,Child Care Workers
5312,4,5312,Teachers' Aides
5320,3,532,Personal Care Workers in Health Services
5321,4,5321,Health Care Assistants
5322,4,5322,Home-based Personal Care Workers
5329,4,5329,Personal Care Workers in Health Services Not Elsewhere Classified
5400,2,54,Protective Services Workers
5410,3,541,Protective Services Workers
5411,4,5411,Fire Fighters
5412,4,5412,Police Officers
5413,4,5413,Prison Guards
5414,4,5414,Security Guards
5419,4,5419,Protective Services Workers Not Elsewhere Classified
6000,1,6,"Skilled Agricultural, Forestry and Fishery Workers"
6100,2,61,Market-oriented Skilled Agricultural Workers
6110,3,611,Market Gardeners and Crop Growers
6111,4,6111,Field Crop and Vegetable Growers
6112,4,6112,Tree and Shrub Crop Growers
6113,4,6113,"Gardeners, Horticultural and Nursery Growers"
6114,4,6114,Mixed Crop Growers
6120,3,612,Animal Producers
6121,4,6121,Livestock and Dairy Producers
6122,4,6122,Poultry Producers
6123,4,6123,Apiarists and Sericulturists
6129,4,6129,Animal Producers Not Elsewhere Classified
6130,3,613,Mixed Crop and Animal Producers
6130,4,6130,Mixed Crop and Animal Producers
6200,2,62,"Market-Oriented Skilled Forestry, Fishery and Hunting Workers"
6210,3,621,Forestry and Related Workers
6210,4,6210,Forestry and Related Workers
6220,3,622,"Fishery Workers, Hunters and Trappers"
6221,4,6221,Aquaculture Workers
6222,4,6222,Inland and Coastal Waters Fishery Workers
6223,4,6223,Deep-sea Fishery Workers
6224,4,6224,Hunters and Trappers
6300,2,63,"Subsistence Farmers, Fishers, Hunters and Gatherers"
6310,3,631,Subsistence Crop Farmers
6310,4,6310,Subsistence Crop Farmers
6320,3,632,Subsistence Livestock Farmers
6320,4,6320,Subsistence Livestock Farmers
6330,3,633,Subsistence Mixed Crop and Livestock Farmers
6330,4,6330,Subsistence Mixed Crop and Livestock Farmers
6340,3,634,"Subsistence Fishers, Hunters, Trappers and Gatherers"
6340,4,6340,"Subsistence Fishers, Hunters, Trappers and Gatherers"
7000,1,7,Craft and Related Trades Workers
7100,2,71,Building and Related Trades Workers (excluding Electricians)
7110,3,711,Building Frame and Related Trades Workers
7111,4,7111,House Builders
7112,4,7112,Bricklayers and Related Workers
7113,4,7113,"Stonemasons, Stone Cutters, Splitters and Carvers"
7114,4,7114,"Concrete Placers, Concrete Finishers and Related Workers"
7115,4,7115,Carpenters and Joiners
7119,4,7119,Building Frame and Related Trades Workers Not Elsewhere Classified
7120,3,712,Building Finishers and Related Trades Workers
7121,4,7121,Roofers
7122,4,7122,Floor Layers and Tile Setters
7123,4,7123,Plasterers
7124,4,7124,Insulation Workers
7125,4,7125,Glaziers
7126,4,7126,Plumbers and Pipe Fitters
7127,4,7127,Air Conditioning and Refrigeration Mechanics
7130,3,713,"Painters, Building Structure Cleaners and Related Trades Workers"
7131,4,7131,Painters and Related Workers
7132,4,7132,Spray Painters and Varnishers
7133,4,7133,Building Structure Cleaners
7200,2,72,"Metal, Machinery and Related Trades Workers"
7210,3,721,"Sheet and Structural Metal Workers, Moulders and Welders, and Related Workers"
7211,4,7211,Metal Moulders and Coremakers
7212,4,7212,Welders and Flame Cutters
7213,4,7213,Sheet Metal Workers
7214,4,7214,Structural Metal Preparers and Erectors
7215,4,7215,Riggers and Cable Splicers
7220,3,722,"Blacksmiths, Toolmakers and Related Trades Workers"
7221,4,7221,"Blacksmiths, Hammersmiths and Forging Press Workers"
7222,4,7222,Toolmakers and Related Workers
7223,4,7223,Metal Working Machine Tool Setters and  Operators
7224,4,7224,"Metal Polishers, Wheel Grinders and Tool Sharpeners"
7230,3,723,Machinery Mechanics and Repairers
7231,4,7231,Motor Vehicle Mechanics and Repairers
7232,4,7232,Aircraft Engine Mechanics and Repairers
7233,4,7233,Agricultural and Industrial Machinery Mechanics and Repairers
7234,4,7234,Bicycle and Related Repairers
7300,2,73,Handicraft and Printing Workers
7310,3,731,Handicraft Workers
7311,4,7311,Precision-instrument Makers and Repairers
7312,4,7312,Musical Instrument Makers and Tuners
7313,4,7313,Jewellery and Precious Metal Workers
7314,4,7314,Potters and Related Workers
7315,4,7315,"Glass Makers, Cutters, Grinders and Finishers"
7316,4,7316,"Sign Writers, Decorative Painters, Engravers and Etchers"
7317,4,7317,"Handicraft Workers in Wood, Basketry and Related Materials"
7318,4,7318,"Handicraft Workers in Textile, Leather and Related Materials"
7319,4,7319,Handicraft Workers Not Elsewhere Classified
7320,3,732,Printing Trades Workers
7321,4,7321,Pre-press Technicians
7322,4,7322,Printers
7323,4,7323,Print Finishing and Binding Workers
7400,2,74,Electrical and Electronics Trades Workers
7410,3,741,Electrical Equipment Installers and Repairers
7411,4,7411,Building and Related Electricians
7412,4,7412,Electrical Mechanics and Fitters
7413,4,7413,Electrical Line Installers and Repairers
7420,3,742,Electronics and Telecommunications Installers and Repairers
7421,4,7421,Electronics Mechanics and Servicers
7422,4,7422,Information and Communications Technology Installers and Servicers
7500,2,75,"Food Processing, Woodworking, Garment and Other Craft and Related Trades Workers"
7510,3,751,Food Processing and Related Trades Workers
7511,4,7511,"Butchers, Fishmongers and Related Food Preparers"
7512,4,7512,"Bakers, Pastry-cooks and Confectionery Makers"
7513,4,7513,Dairy Products Makers
7514,4,7514,"Fruit, Vegetable and Related Preservers"
7515,4,7515,Food and Beverage Tasters and Graders
7516,4,7516,Tobacco Preparers and Tobacco Products Makers
7520,3,752,"Wood Treaters, Cabinet-makers and Related Trades Workers"
7521,4,7521,Wood Treaters
7522,4,7522,Cabinet-makers and Related Workers
7523,4,7523,Woodworking Machine Tool Setters and Operators
7530,3,753,Garment and Related Trades Workers
7531,4,7531,"Tailors, Dressmakers, Furriers and Hatters"
7532,4,7532,Garment and Related Patternmakers and Cutters
7533,4,7533,"Sewing, Embroidery and Related Workers"
7534,4,7534,Upholsterers and Related Workers
7535,4,7535,"Pelt Dressers, Tanners and Fellmongers"
7536,4,7536,Shoemakers and Related Workers
7540,3,754,Other Craft and Related Workers
7541,4,7541,Underwater Divers
7542,4,7542,Shotfirers and Blasters
7543,4,7543,Product Graders and Testers (except Foods and Beverages)
7544,4,7544,Fumigators and Other Pest and Weed Controllers
7549,4,7549,Craft and Related Workers not Elsewhere Classified
8000,1,8,"Plant and Machine Operators, and Assemblers"
8100,2,81,Stationary Plant and Machine Operators
8110,3,811,Mining and Mineral Processing Plant Operators
8111,4,8111,Miners and Quarriers
8112,4,8112,Mineral and Stone Processing Plant Operators
8113,4,8113,Well Drillers and Borers and Related Workers
8114,4,8114,"Cement, Stone and Other Mineral Products Machine Operators"
8120,3,812,Metal Processing and Finishing Plant Operators
8121,4,8121,Metal Processing Plant Operators
8122,4,8122,"Metal Finishing, Plating and Coating Machine Operators"
8130,3,813,Chemical and Photographic Products Plant and Machine Operators
8131,4,8131,Chemical Products Plant and Machine Operators
8132,4,8132,Photographic Products Machine Operators
8140,3,814,"Rubber, Plastic and Paper Products Machine Operators"
8141,4,8141,Rubber Products Machine Operators
8142,4,8142,Plastic Products Machine Operators
8143,4,8143,Paper Products Machine Operators
8150,3,815,"Textile, Fur and Leather Products Machine Operators"
8151,4,8151,"Fibre Preparing, Spinning and Winding Machine Operators"
8152,4,8152,Weaving and Knitting Machine Operators
8153,4,8153,Sewing Machine Operators
8154,4,8154,"Bleaching, Dyeing and Fabric Cleaning Machine Operators"
8155,4,8155,Fur and Leather Preparing Machine Operators
8156,4,8156,Shoemaking and Related Machine Operators
8157,4,8157,Laundry Machine Operators
8159,4,8159,"Textile, Fur and Leather Products Machine Operators Not Elsewhere Classified"
8160,3,816,Food and Related Products Machine Operators
8160,4,8160,Food and Related Products Machine Operators
8170,3,817,Wood Processing and Papermaking Plant Operators
8171,4,8171,Pulp and Papermaking Plant Operators
8172,4,8172,Wood Processing Plant Operators
8180,3,818,Other Stationary Plant and Machine Operators
8181,4,8181,Glass and Ceramics Plant Operators
8182,4,8182,Steam Engine and Boiler Operators
8183,4,8183,"Packing, Bottling and Labelling Machine Operators"
8189,4,8189,Stationary Plant and Machine Operators Not Elsewhere Classified
8200,2,82,Assemblers
8210,3,821,Assemblers
8211,4,8211,Mechanical Machinery Assemblers
8212,4,8212,Electrical and Electronic Equipment Assemblers
8219,4,8219,Assemblers Not Elsewhere Classified
8300,2,83,Drivers and Mobile Plant Operators
8310,3,831,Locomotive Engine Drivers and Related Workers
8311,4,8311,Locomotive Engine Drivers
8312,4,8312,"Railway Brake, Signal and Switch Operators"
8320,3,832,"Car, Van and Motorcycle Drivers"
8321,4,8321,Motorcycle Drivers
8322,4,8322,"Car, Taxi and Van Drivers"
8330,3,833,Heavy Truck and Bus Drivers
8331,4,8331,Bus and Tram Drivers
8332,4,8332,Heavy Truck and Lorry Drivers
8340,3,834,Mobile Plant Operators
8341,4,8341,Mobile Farm and Forestry Plant Operators
8342,4,8342,Earthmoving and Related Plant Operators
8343,4,8343,"Crane, hoist and related plant operators"
8344,4,8344,Lifting Truck Operators
8350,3,835,Ships' Deck Crews and Related Workers
8350,4,8350,Ships' Deck Crews and Related Workers
9000,1,9,Elementary Occupations
9100,2,91,Cleaners and Helpers
9110,3,911,"Domestic, Hotel and Office Cleaners and Helpers"
9111,4,9111,Domestic Cleaners and Helpers
9112,4,9112,"Cleaners and Helpers in Offices, Hotels and Other Establishments"
9120,3,912,"Vehicle, Window, Laundry and Other Hand Cleaning Workers"
9121,4,9121,Hand Launderers and Pressers
9122,4,9122,Vehicle Cleaners
9123,4,9123,Window Cleaners
9129,4,9129,Other Cleaning Workers
9200,2,92,"Agricultural, Forestry and Fishery Labourers"
9210,3,921,"Agricultural, Forestry and Fishery Labourers"
9211,4,9211,Crop Farm Labourers
9212,4,9212,Livestock Farm Labourers
9213,4,9213,Mixed Crop and Livestock Farm Labourers
9214,4,9214,Garden and Horticultural Labourers
9215,4,9215,Forestry Labourers
9216,4,9216,Fishery and Aquaculture Labourers
9300,2,93,"Labourers in Mining, Construction, Manufacturing and Transport"
9310,3,931,Mining and Construction Labourers
9311,4,9311,Mining and Quarrying Labourers
9312,4,9312,Civil Engineering Labourers
9313,4,9313,Building Construction Labourers
9320,3,932,Manufacturing Labourers
9321,4,9321,Hand Packers
9329,4,9329,Manufacturing Labourers Not Elsewhere Classified
9330,3,933,Transport and Storage Labourers
9331,4,9331,Hand and Pedal Vehicle Drivers
9332,4,9332,Drivers of Animal-drawn Vehicles and Machinery
9333,4,9333,Freight Handlers
9334,4,9334,Shelf Fillers
9400,2,94,Food Preparation Assistants
9410,3,941,Food Preparation Assistants
9411,4,9411,Fast Food Preparers
9412,4,9412,Kitchen Helpers
9500,2,95,Street and Related Sales and Service Workers
9510,3,951,Street and Related Service Workers
9510,4,9510,Street and Related Service Workers
9520,3,952,Street Vendors (excluding Food)
9520,4,9520,Street Vendors (excluding Food)
9600,2,96,Refuse Workers and Other Elementary Workers
9610,3,961,Refuse Workers
9611,4,9611,Garbage and Recycling Collectors
9612,4,9612,Refuse Sorters
9613,4,9613,Sweepers and Related Labourers
9620,3,962,Other Elementary Workers
9621,4,9621,"Messengers, Package Deliverers and Luggage Porters"
9622,4,9622,Odd Job Persons
9623,4,9623,Meter Readers and Vending-machine Collectors
9624,4,9624,Water and Firewood Collectors
9629,4,9629,Elementary Workers Not Elsewhere Classified
0000,1,0,Armed Forces Occupations
0100,2,01,Commissioned Armed forces Officers
0110,3,011,Commissioned Armed Forces Officers
0110,4,0110,Commissioned Armed Forces Officers
0200,2,02,Non-commissioned Armed Forces Officers
0210,3,021,Non-commissioned Armed Forces Officers
0210,4,0210,Non-commissioned Armed Forces Officers
0300,2,03,"Armed Forces Occupations, Other Ranks"
0310,3,031,"Armed Forces Occupations, Other Ranks"
0310,4,0310,"Armed Forces Occupations, Other Ranks"
