countrycode,period,group,emp,emp_ref,index,n
COL,2022Q3,5.0,5298857.592569331,5320862.275198229,99.58644517578539,
COL,2022Q4,1.0,4489476.237852191,4411519.643102097,101.76711430656299,
COL,2022Q4,2.0,3966798.858426945,3893743.7984808045,101.87621640578004,
COL,2022Q4,3.0,3795217.301617011,3594879.953721271,105.57285223636909,
COL,2022Q4,4.0,4925389.564444957,4781041.664282458,103.01917260501773,
COL,2022Q4,5.0,5313835.600028432,5320862.275198229,99.86794104401932,
COL,2023Q1,1.0,4647435.610715708,4411519.643102097,105.34772565237222,
COL,2023Q1,2.0,3809876.2155145044,3893743.7984808045,97.84609395720842,
COL,2023Q1,3.0,3651398.313474397,3594879.953721271,101.5721904620103,
COL,2023Q1,4.0,4812147.368961606,4781041.664282458,100.65060517902465,
COL,2023Q1,5.0,5224332.769257277,5320862.275198229,98.18582964661766,
COL,2023Q2,1.0,4589567.977603909,4411519.643102097,104.03598643792077,
COL,2023Q2,2.0,3940905.0432418264,3893743.7984808045,101.21120564684873,
COL,2023Q2,3.0,3819013.0253968723,3594879.953721271,106.23478598898937,
COL,2023Q2,4.0,4850527.35848885,4781041.664282458,101.45335889301063,
COL,2023Q2,5.0,5572047.335962354,5320862.275198229,104.72075854951099,
COL,2023Q3,1.0,4641622.822298747,4411519.643102097,105.21596179575991,
COL,2023Q3,2.0,4006109.8215306145,3893743.7984808045,102.88580936151092,
COL,2023Q3,3.0,3859263.7464560084,3594879.953721271,107.35445400509295,
COL,2023Q3,4.0,5089786.754448438,4781041.664282458,106.45769503479775,
COL,2023Q3,5.0,5533743.59451171,5320862.275198229,104.00088008866102,
COL,2023Q4,1.0,4597933.013967679,4411519.643102097,104.22560446165213,
COL,2023Q4,2.0,3891818.1852038037,3893743.7984808045,99.95054596869593,
COL,2023Q4,3.0,3960133.8419549004,3594879.953721271,110.16039180544914,
COL,2023Q4,4.0,5028892.3339480115,4781041.664282458,105.18403074202766,
COL,2023Q4,5.0,5541823.374706017,5320862.275198229,104.15273104394637,
COL,2024Q1,1.0,4625277.90856371,4411519.643102097,104.84545650376617,
COL,2024Q1,2.0,3758216.035326367,3893743.7984808045,96.51934564345719,
COL,2024Q1,3.0,3822713.5407404536,3594879.953721271,106.33772448460591,
COL,2024Q1,4.0,4875027.165841203,4781041.664282458,101.96579549308008,
COL,2024Q1,5.0,5281828.002887409,5320862.275198229,99.26639198137552,
COL,2024Q2,1.0,4646886.457309944,4411519.643102097,105.33527748370946,
COL,2024Q2,2.0,3825255.368423742,3893743.7984808045,98.24106480545063,
COL,2024Q2,3.0,3912472.8271593424,3594879.953721271,108.83458912471646,
COL,2024Q2,4.0,4993158.024731256,4781041.664282458,104.43661392941725,
COL,2024Q2,5.0,5533571.632518588,5320862.275198229,103.99764824419242,
COL,2024Q3,1.0,4708952.872175208,4411519.643102097,106.74219437146066,
COL,2024Q3,2.0,3911682.9553788076,3893743.7984808045,100.46071744383907,
COL,2024Q3,3.0,3845546.052232788,3594879.953721271,106.97286423297774,
COL,2024Q3,4.0,5260186.434908179,4781041.664282458,110.02176521918328,
COL,2024Q3,5.0,5532107.042944413,5320862.275198229,103.97012282634799,
COL,2024Q4,1.0,4734853.824600815,4411519.643102097,107.32931523957478,
COL,2024Q4,2.0,3913052.503722978,3893743.7984808045,100.49589049104121,
COL,2024Q4,3.0,4051115.710525748,3594879.953721271,112.69126542966201,
COL,2024Q4,4.0,5254951.163279891,4781041.664282458,109.91226457066564,
COL,2024Q4,5.0,5566294.911183414,5320862.275198229,104.61264778698002,
COL,2025Q1,1.0,4873808.079042137,4411519.643102097,110.47911997088983,
COL,2025Q1,2.0,4021282.3289656932,3893743.7984808045,103.27547309442006,
COL,2025Q1,3.0,3867802.522394175,3594879.953721271,107.59198004346115,
COL,2025Q1,4.0,5151673.855539635,4781041.664282458,107.75212217927412,
COL,2025Q1,5.0,5417260.991889074,5320862.275198229,101.81171230723602,
COL,2025Q2,1.0,4801483.601260978,4411519.643102097,108.83967407395845,
COL,2025Q2,2.0,3995531.0305795977,3893743.7984808045,102.61412248382923,
COL,2025Q2,3.0,3978405.329757968,3594879.953721271,110.66865600448459,
COL,2025Q2,4.0,5205965.988456161,4781041.664282458,108.88769339426948,
COL,2025Q2,5.0,5648496.918435485,5320862.275198229,106.15754789903956,
COL,2025Q3,1.0,4763532.7090484,4411519.643102097,107.97940606468146,
COL,2025Q3,2.0,4021590.3198090238,3893743.7984808045,103.28338298421433,
COL,2025Q3,3.0,4089178.889377365,3594879.953721271,113.75008183915617,
COL,2025Q3,4.0,5358926.98611382,4781041.664282458,112.08701706468169,
COL,2025Q3,5.0,5653045.738791165,5320862.275198229,106.24303818464388,
COL,2025Q4,1.0,4879904.820018449,4411519.643102097,110.6173204430524,
COL,2025Q4,2.0,4182329.5268706195,3893743.7984808045,107.41152328775229,
COL,2025Q4,3.0,4170554.263806073,3594879.953721271,116.01372834408248,
COL,2025Q4,4.0,5498633.839120608,4781041.664282458,115.00911778700942,
COL,2025Q4,5.0,5650961.147471749,5320862.275198229,106.20386048727832,
COL,2026Q1,1.0,4742812.911602791,4411519.643102097,107.50973123328846,
COL,2026Q1,2.0,3931072.5317873447,3893743.7984808045,100.95868488628103,
COL,2026Q1,3.0,4009274.928154514,3594879.953721271,111.5273661365042,
COL,2026Q1,4.0,5469968.510704724,4781041.664282458,114.40955538139323,
COL,2026Q1,5.0,5719145.551910467,5320862.275198229,107.48531452446588,
COL,2026Q2,1.0,4813967.426350199,4411519.643102097,109.1226564949648,
COL,2026Q2,2.0,4030254.816971399,3893743.7984808045,103.50590654022629,
COL,2026Q2,3.0,4183827.8909440944,3594879.953721271,116.38296535085043,
COL,2026Q2,4.0,5577482.703301533,4781041.664282458,116.65831621943428,
COL,2026Q2,5.0,5814857.5340045635,5320862.275198229,109.28412037855144,
ECU,2021Q3,1.0,2061670.688193143,2118817.595746924,97.30288687103169,
ECU,2021Q3,2.0,1831555.5831510352,1925415.4601389077,95.12521432745217,
ECU,2021Q3,3.0,1547136.4714385334,1574126.5597253859,98.28539273922415,
ECU,2021Q3,4.0,1217161.99792391,1251989.100059634,97.21825835911308,
ECU,2021Q3,5.0,1326529.6958076935,1266873.2586642061,104.70895069696154,
ECU,2021Q4,1.0,2012290.3920561315,2118817.595746924,94.97232777825597,
ECU,2021Q4,2.0,1944840.6997994303,1925415.4601389077,101.00888561781473,
ECU,2021Q4,3.0,1620732.7232285715,1574126.5597253859,102.96076342878786,
ECU,2021Q4,4.0,1214493.709498199,1251989.100059634,97.00513442492037,
ECU,2021Q4,5.0,1291544.435645568,1266873.2586642061,101.94740687852035,
ECU,2022Q1,1.0,2077054.6763150496,2118817.595746924,98.02895164191081,
ECU,2022Q1,2.0,1909138.7029272635,1925415.4601389077,99.15463662006381,
ECU,2022Q1,3.0,1550705.231037154,1574126.5597253859,98.51210637775418,
ECU,2022Q1,4.0,1212108.5396875825,1251989.100059634,96.81462399551626,
ECU,2022Q1,5.0,1234243.680660527,1266873.2586642061,97.42440076143971,
ECU,2022Q2,1.0,2127060.7799539324,2118817.595746924,100.38904642964806,
ECU,2022Q2,2.0,1950543.976086129,1925415.4601389077,101.30509578153114,
ECU,2022Q2,3.0,1537823.1629998954,1574126.5597253859,97.69374346038455,
ECU,2022Q2,4.0,1251885.3415547279,1251989.100059634,99.99171250732924,
ECU,2022Q2,5.0,1291253.6236838067,1266873.2586642061,101.92445178338576,
ECU,2022Q3,1.0,2117215.743138322,2118817.595746924,99.92439874900901,
ECU,2022Q3,2.0,1944015.4111012346,1925415.4601389077,100.96602272846532,
ECU,2022Q3,3.0,1597047.6540542284,1574126.5597253859,101.45611508726726,
ECU,2022Q3,4.0,1285651.5482600546,1251989.100059634,102.68871735375468,
ECU,2022Q3,5.0,1315544.2849159485,1266873.2586642061,103.84182284367272,
ECU,2022Q4,1.0,2153939.1835803916,2118817.595746924,101.65760317943209,
ECU,2022Q4,2.0,1897963.7504410036,1925415.4601389077,98.57424486993972,
ECU,2022Q4,3.0,1610930.1908102655,1574126.5597253859,102.33803507459402,
ECU,2022Q4,4.0,1258310.970736171,1251989.100059634,100.50494614339978,
ECU,2022Q4,5.0,1226451.445396542,1266873.2586642061,96.8093246115018,
ECU,2023Q1,1.0,2155066.3417826393,2118817.595746924,101.71080068942588,
ECU,2023Q1,2.0,1951216.5780842083,1925415.4601389077,101.34002860574513,
ECU,2023Q1,3.0,1567437.8393031142,1574126.5597253859,99.57508369444966,
ECU,2023Q1,4.0,1274389.6906506643,1251989.100059634,101.78920012881608,
ECU,2023Q1,5.0,1207114.3342047478,1266873.2586642061,95.28295951858134,
ECU,2023Q2,1.0,2114991.178521528,2118817.595746924,99.81940789839216,
ECU,2023Q2,2.0,1819952.4998468081,1925415.4601389077,94.52258681435481,
ECU,2023Q2,3.0,1636370.3093651636,1574126.5597253859,103.95417695325821,
ECU,2023Q2,4.0,1260039.662437528,1251989.100059634,100.64302176253055,
ECU,2023Q2,5.0,1198350.6190645476,1266873.2586642061,94.59120009590312,
ECU,2023Q3,1.0,2117900.370353948,2118817.595746924,99.95671050708577,
ECU,2023Q3,2.0,1871584.2227901998,1925415.4601389077,97.2041754902693,
ECU,2023Q3,3.0,1711311.6817950085,1574126.5597253859,108.71499951652905,
ECU,2023Q3,4.0,1310429.0941757122,1251989.100059634,104.66777179715818,
ECU,2023Q3,5.0,1217214.449417503,1266873.2586642061,96.0802070051535,
ECU,2023Q4,1.0,2097854.6061814753,2118817.595746924,99.01062792722094,
ECU,2023Q4,2.0,1974791.9925422051,1925415.4601389077,102.56446119944083,
ECU,2023Q4,3.0,1689107.5524875468,1574126.5597253859,107.30443127661984,
ECU,2023Q4,4.0,1255787.22083135,1251989.100059634,100.30336692001032,
ECU,2023Q4,5.0,1187780.3056234175,1266873.2586642061,93.75683774995895,
ECU,2024Q1,1.0,2125729.8605340617,2118817.595746924,100.32623217784355,
ECU,2024Q1,2.0,1966536.7648157957,1925415.4601389077,102.1357107350702,
ECU,2024Q1,3.0,1618435.1557916685,1574126.5597253859,102.81480518783779,
ECU,2024Q1,4.0,1226155.763637546,1251989.100059634,97.93661650721579,
ECU,2024Q1,5.0,1181352.385179069,1266873.2586642061,93.24945310035902,
ECU,2024Q2,1.0,2097877.399497095,2118817.595746924,99.01170368360816,
ECU,2024Q2,2.0,1972534.256778636,1925415.4601389077,102.44720153209578,
ECU,2024Q2,3.0,1639034.861075117,1574126.5597253859,104.12344871184021,
ECU,2024Q2,4.0,1315915.9786398923,1251989.100059634,105.10602517044384,
ECU,2024Q2,5.0,1204018.4435683726,1266873.2586642061,95.03858695682725,
ECU,2024Q3,1.0,2213245.0883844234,2118817.595746924,104.45661263277415,
ECU,2024Q3,2.0,1913771.905858497,1925415.4601389077,99.39527055217627,
ECU,2024Q3,3.0,1716430.4245641583,1574126.5597253859,109.04017939088698,
