countrycode,period,group,emp,emp_ref,index,n
GEO,2024Q4,4.0,367415.4578767635,333770.08064518345,110.08040539959212,
GEO,2024Q4,5.0,284984.5279057007,239581.98948919834,118.95073102669488,
GEO,2025Q1,1.0,152508.93375423786,122110.38189755863,124.89432215696559,
GEO,2025Q1,2.0,237725.9655293153,222022.85497599788,107.07274508068775,
GEO,2025Q1,3.0,349072.74242117646,355226.2613499736,98.2677184661371,
GEO,2025Q1,4.0,372520.10956059233,333770.08064518345,111.60979703168852,
GEO,2025Q1,5.0,271223.08173492353,239581.98948919834,113.20679084149259,
GEO,2025Q2,1.0,160138.35395204052,122110.38189755863,131.1422922961493,
GEO,2025Q2,2.0,233477.62847540682,222022.85497599788,105.15927673331075,
GEO,2025Q2,3.0,352547.2271251348,355226.2613499736,99.24582315095239,
GEO,2025Q2,4.0,356905.6146160249,333770.08064518345,106.93157814688483,
GEO,2025Q2,5.0,250375.67650952528,239581.98948919834,104.50521637429411,
GEO,2025Q3,1.0,165821.96694195148,122110.38189755863,135.79678022877985,
GEO,2025Q3,2.0,234584.60143950867,222022.85497599788,105.65786187411598,
GEO,2025Q3,3.0,348743.4068796026,355226.2613499736,98.17500698125919,
GEO,2025Q3,4.0,373210.88880327914,333770.08064518345,111.8167596334147,
GEO,2025Q3,5.0,263929.2027672343,239581.98948919834,110.1623721089993,
GEO,2025Q4,1.0,153678.2247000904,122110.38189755863,125.8518909792738,
GEO,2025Q4,2.0,234642.83097864175,222022.85497599788,105.68408869618767,
GEO,2025Q4,3.0,357764.9007296704,355226.2613499736,100.71465419534276,
GEO,2025Q4,4.0,358210.26143201767,333770.08064518345,107.32246004183207,
GEO,2025Q4,5.0,286842.04399269214,239581.98948919834,119.72604643790412,
IND,2021Q3,1.0,100114792.22,102447374.02249998,97.72314144236856,
IND,2021Q3,2.0,163767259.31,170684993.72125,95.94707521708234,
IND,2021Q3,3.0,42251380.02,48988064.60374999,86.24831448590378,
IND,2021Q3,4.0,65162792.50999999,55354531.7675,117.71898420836912,
IND,2021Q3,5.0,44141018.92999999,54270015.3425,81.3359249143831,
IND,2021Q4,1.0,95345627.52999999,102447374.02249998,93.06790773286167,
IND,2021Q4,2.0,170840185.01999992,170684993.72125,100.09092263787605,
IND,2021Q4,3.0,45660034.69,48988064.60374999,93.20644744659859,
IND,2021Q4,4.0,63434995.79000001,55354531.7675,114.59765580971683,
IND,2021Q4,5.0,45378153.99,54270015.3425,83.61551715734159,
IND,2022Q1,1.0,98840559.28499998,102447374.02249998,96.4793487662184,
IND,2022Q1,2.0,165445542.73999998,170684993.72125,96.93033882650124,
IND,2022Q1,3.0,45287952.13499999,48988064.60374999,92.44691028584387,
IND,2022Q1,4.0,61436511.06500001,55354531.7675,110.98731956228178,
IND,2022Q1,5.0,49844789.89500001,54270015.3425,91.84591082281396,
IND,2022Q2,1.0,102335143.36,102447374.02249998,99.8904504253322,
IND,2022Q2,2.0,156990892.64000005,170684993.72125,91.97697420101609,
IND,2022Q2,3.0,47163339.879999995,48988064.60374999,96.27516469876969,
IND,2022Q2,4.0,55923894.86999999,55354531.7675,101.02857541075666,
IND,2022Q2,5.0,53469041.98,54270015.3425,98.52409593502964,
IND,2022Q3,1.0,105629053.61999999,102447374.02249998,103.10567218326283,
IND,2022Q3,2.0,174784450.00500005,170684993.72125,102.40176725227818,
IND,2022Q3,3.0,50429938.684999995,48988064.60374999,102.94331709756834,
IND,2022Q3,4.0,52094186.055,55354531.7675,94.11006541217962,
IND,2022Q3,5.0,56701154.98499999,54270015.3425,104.4797106231811,
IND,2022Q4,1.0,102984739.82499996,102447374.02249998,100.52452862518659,
IND,2022Q4,2.0,185519089.49999997,170684993.72125,108.69091972020452,
IND,2022Q4,3.0,53071027.714999996,48988064.60374999,108.33460791781813,
IND,2022Q4,4.0,51963535.08,55354531.7675,93.87403961478194,
IND,2022Q4,5.0,57065074.51,54270015.3425,105.15028261897528,
IND,2023Q1,1.0,106006725.08500001,102447374.02249998,103.47432142254647,
IND,2023Q1,2.0,180228412.39499995,170684993.72125,105.59124646267121,
IND,2023Q1,3.0,55000497.57,48988064.60374999,112.27326087462897,
IND,2023Q1,4.0,57099069.300000004,55354531.7675,103.15157129289325,
IND,2023Q1,5.0,60132588.434999995,54270015.3425,110.80260076489951,
IND,2023Q2,1.0,113295799.60000001,102447374.02249998,110.5892666171389,
IND,2023Q2,2.0,175312197.59500003,170684993.72125,102.71096115298035,
IND,2023Q2,3.0,56040340.215,48988064.60374999,114.39590575437872,
IND,2023Q2,4.0,51472465.950000025,55354531.7675,92.98690514842504,
IND,2023Q2,5.0,59814090.889999986,54270015.3425,110.21572504174013,
