countrycode,period,tercile,emp,emp_ref,index
ARG,2023Q2,3.0,5213907.0,5120874.0,101.81674065794238
ARG,2023Q3,1.0,3321511.0,3289054.0,100.9868187022773
ARG,2023Q3,2.0,3958848.0,3674879.0,107.72730204178151
ARG,2023Q3,3.0,5345842.0,5120874.0,104.3931563244868
ARG,2023Q4,1.0,3402263.0,3289054.0,103.44199274320215
ARG,2023Q4,2.0,3877437.0,3674879.0,105.51196379527053
ARG,2023Q4,3.0,5421696.0,5120874.0,105.87442690446983
ARG,2024Q1,1.0,3171577.0,3289054.0,96.42824350101884
ARG,2024Q1,2.0,3843613.0,3674879.0,104.59155253819242
ARG,2024Q1,3.0,5303111.0,5120874.0,103.5587089235158
ARG,2024Q2,1.0,3271549.0,3289054.0,99.46778009725593
ARG,2024Q2,2.0,3955510.0,3674879.0,107.6364691191193
ARG,2024Q2,3.0,5330762.0,5120874.0,104.09867534331053
ARG,2024Q3,1.0,3196141.0,3289054.0,97.1750843859663
ARG,2024Q3,2.0,3970944.0,3674879.0,108.05645573636575
ARG,2024Q3,3.0,5366553.0,5120874.0,104.79759900360759
ARG,2024Q4,1.0,3302571.0,3289054.0,100.41096923309864
ARG,2024Q4,2.0,3913091.0,3674879.0,106.48217261030908
ARG,2024Q4,3.0,5496058.0,5120874.0,107.3265618329996
ARG,2025Q1,1.0,3260667.0,3289054.0,99.1369250854501
ARG,2025Q1,2.0,3763642.0,3674879.0,102.41539925532243
ARG,2025Q1,3.0,5404666.0,5120874.0,105.5418664860725
ARG,2025Q2,1.0,3149586.0,3289054.0,95.75963179686318
ARG,2025Q2,2.0,3799286.0,3674879.0,103.3853359525579
ARG,2025Q2,3.0,5501274.0,5120874.0,107.42841944558683
ARG,2025Q3,1.0,3190644.0,3289054.0,97.00795426283668
ARG,2025Q3,2.0,3893767.0,3674879.0,105.95633216767138
ARG,2025Q3,3.0,5660684.0,5120874.0,110.54136461861783
ARG,2025Q4,1.0,3403812.0,3289054.0,103.48908835184828
ARG,2025Q4,2.0,3911636.0,3674879.0,106.4425794699635
ARG,2025Q4,3.0,5379829.0,5120874.0,105.05685162337522
ARG,2026Q1,1.0,3365497.0,3289054.0,102.32416372610483
ARG,2026Q1,2.0,3868720.0,3674879.0,105.27475870634107
ARG,2026Q1,3.0,5505950.0,5120874.0,107.51973198325129
BRA,2021Q1,1.0,24608868.35422991,28681621.70863904,85.80012875219535
BRA,2021Q1,2.0,27929907.88419306,31008571.1438157,90.071573290675
BRA,2021Q1,3.0,32062773.194203343,35604012.95302521,90.05381847407465
BRA,2021Q2,1.0,25701546.14588543,28681621.70863904,89.60980800518682
BRA,2021Q2,2.0,28425512.103860453,31008571.1438157,91.66985467348628
BRA,2021Q2,3.0,32679191.90807902,35604012.95302521,91.78513655523858
BRA,2021Q3,1.0,27480525.30872437,28681621.70863904,95.81231350125194
BRA,2021Q3,2.0,29246647.920840546,31008571.1438157,94.3179477222492
BRA,2021Q3,3.0,33579165.9050993,35604012.95302521,94.31286846626692
BRA,2021Q4,1.0,28518509.58406863,28681621.70863904,99.43130089983273
BRA,2021Q4,2.0,29754845.215564646,31008571.1438157,95.9568406991849
BRA,2021Q4,3.0,34778431.0296536,35604012.95302521,97.68121103522557
BRA,2022Q1,1.0,28039218.88990858,28681621.70863904,97.76022839553396
BRA,2022Q1,2.0,30135302.877138443,31008571.1438157,97.1837842426628
BRA,2022Q1,3.0,34457738.38733423,35604012.95302521,96.78049053851504
BRA,2022Q2,1.0,28831143.96311199,28681621.70863904,100.52131729506742
BRA,2022Q2,2.0,31080226.595795993,31008571.1438157,100.2310827275722
BRA,2022Q2,3.0,35573894.03985722,35604012.95302521,99.9154058470664
BRA,2022Q3,1.0,28932144.516535733,28681621.70863904,100.87346109798679
BRA,2022Q3,2.0,31360731.80222405,31008571.1438157,101.1356881191818
BRA,2022Q3,3.0,36176947.50943023,35604012.95302521,101.60918533863284
BRA,2022Q4,1.0,28923979.46499986,28681621.70863904,100.84499321141182
BRA,2022Q4,2.0,31458023.30010431,31008571.1438157,101.4494449105832
BRA,2022Q4,3.0,36207471.87547914,35604012.95302521,101.69491827578571
BRA,2023Q1,1.0,28161111.728989147,28681621.70863904,98.18521426390227
BRA,2023Q1,2.0,31128958.579101693,31008571.1438157,100.38823922175466
BRA,2023Q1,3.0,35746298.470265,35604012.95302521,100.39963337118073
